platform,country,region,category,sound_type,duration_sec,views,likes,comments,trend_label,genre,publish_dayofweek,publish_period,creator_avg_views,title_length,completion_rate,traffic_source
1,Mx,North America,Science,trending,26,58774,3119,357,seasonal,Education,Saturday,Night,102851.4,22,0.631,Search
1,Ca,North America,Food,original,19,147717,8707,1233,seasonal,Tech,Wednesday,Evening,113141.1,29,0.532,Following
1,Ca,North America,Finance,licensed,21,160565,11260,1371,seasonal,Pets,Friday,Morning,80410.8,17,0.671,ForYou
1,Us,North America,Comedy,original,12,10154,611,78,rising,Education,Sunday,Evening,107955.4,18,0.692,Search
1,Us,North America,Education,licensed,23,251457,21618,2752,declining,Beauty,Thursday,Evening,97694.6,22,0.557,ForYou
1,Ca,North America,News,original,33,29020,2493,274,stable,Gaming,Wednesday,Evening,93389,30,0.6,Search
1,Mx,North America,Sports,original,15,18039,949,116,stable,Gaming,Thursday,Evening,92277.3,31,0.82,Following
2,Mx,North America,Tech,licensed,29,1865088,57192,8621,rising,Gaming,Friday,Afternoon,122780.7,28,0.472,Suggested
2,Us,North America,Beauty,licensed,82,18302,902,84,declining,Tech,Friday,Evening,111830.6,28,0.546,Home
2,Mx,North America,Science,licensed,19,9879,283,41,seasonal,Gaming,Friday,Evening,78592,26,0.632,Home
2,Mx,North America,Gaming,trending,16,176421,7095,590,stable,Gaming,Friday,Evening,80653.2,27,0.562,Suggested
1,Us,North America,Education,licensed,39,35085,4013,621,seasonal,Comedy,Friday,Afternoon,101280.2,16,0.556,Following
1,Mx,North America,Automotive,trending,38,61492,3869,411,declining,Food,Friday,Morning,112406,29,0.539,ForYou
1,Ca,North America,Education,trending,33,658900,46407,4442,stable,Tech,Friday,Evening,113807.9,26,0.718,ForYou
1,Us,North America,Art,original,15,33360,2133,291,declining,Fashion,Sunday,Afternoon,105639.6,19,0.773,Following
1,Ca,North America,Gaming,trending,28,8436,696,48,rising,Beauty,Friday,Night,93427.1,22,0.807,ForYou
2,Ca,North America,Education,trending,37,56782,3509,234,declining,Food,Saturday,Evening,82918.8,20,0.489,Suggested
2,Ca,North America,Art,licensed,90,13430,550,58,stable,Lifestyle,Friday,Afternoon,93418,23,0.503,Search
2,Mx,North America,Comedy,trending,9,6367,171,22,declining,Comedy,Friday,Evening,116096.1,21,0.744,Suggested
2,Ca,North America,Automotive,original,35,20681,673,59,seasonal,Lifestyle,Friday,Evening,130473.1,27,0.669,Search
2,Ca,North America,Food,licensed,56,57609,2371,213,rising,Comedy,Sunday,Evening,96609.1,29,0.618,Home
2,Mx,North America,News,licensed,29,35300,1723,209,seasonal,Sports,Friday,Night,99253.8,24,0.659,Search
2,Us,North America,Fitness,trending,19,83602,3903,359,declining,Sports,Friday,Evening,98432,26,0.6,Home
2,Ca,North America,Automotive,licensed,39,16328,1063,92,declining,Lifestyle,Sunday,Evening,105585.7,23,0.523,Search
2,Ca,North America,Gaming,trending,36,313561,8115,646,declining,Music,Saturday,Afternoon,103134.2,28,0.692,Home
2,Us,North America,Science,trending,20,64748,1829,163,stable,Fashion,Friday,Night,86941.3,19,0.705,Search
2,Ca,North America,Automotive,licensed,49,52256,2898,447,rising,Education,Wednesday,Afternoon,78592,25,0.633,Suggested
2,Us,North America,Lifestyle,trending,60,165730,5614,497,seasonal,Lifestyle,Friday,Evening,91135.1,22,0.578,Home
1,Us,North America,Sports,original,22,21922,1958,270,stable,Fashion,Wednesday,Evening,119864.1,20,0.609,ForYou
1,Ca,North America,Gaming,licensed,26,72584,4776,412,declining,Comedy,Saturday,Morning,78433.1,20,0.665,ForYou
1,Ca,North America,Music,licensed,19,43626,2978,296,stable,Comedy,Friday,Morning,105795.3,22,0.747,Following
1,Ca,North America,Sports,trending,36,39634,2545,208,seasonal,Fashion,Friday,Afternoon,106642.8,19,0.694,ForYou
1,Mx,North America,Fashion,original,23,137140,6845,456,declining,Music,Sunday,Morning,109255,28,0.587,ForYou
1,Ca,North America,Sports,licensed,28,90836,7604,872,declining,Fashion,Friday,Evening,85903.6,23,0.536,ForYou
1,Us,North America,Science,trending,24,46595,4476,573,declining,Comedy,Friday,Evening,103611.2,17,0.767,ForYou
1,Mx,North America,Travel,trending,16,45225,3235,225,rising,Dance,Thursday,Afternoon,101422.3,25,0.738,Following
1,Us,North America,Beauty,original,75,119197,10837,957,stable,Tech,Wednesday,Night,139280.8,26,0.716,ForYou
1,Ca,North America,Gaming,trending,17,64065,3749,597,stable,Beauty,Thursday,Afternoon,130373.9,20,0.553,ForYou
2,Ca,North America,News,trending,21,118576,4982,765,seasonal,Gaming,Friday,Afternoon,102133.2,28,0.562,External
2,Ca,North America,Pets,licensed,73,491264,34462,3953,rising,Travel,Saturday,Evening,109086.8,23,0.593,Home
2,Mx,North America,Lifestyle,trending,55,126401,5401,634,rising,Travel,Friday,Night,84510.2,17,0.645,Search
2,Us,North America,Art,trending,40,91931,4509,529,rising,Sports,Friday,Morning,81381.2,25,0.548,Suggested
2,Us,North America,Lifestyle,licensed,42,19044,429,52,seasonal,Lifestyle,Saturday,Morning,92655.5,23,0.412,Suggested
1,Mx,North America,Travel,licensed,48,42125,1745,225,stable,Fashion,Friday,Morning,127439.6,18,0.51,ForYou
1,Us,North America,DIY,trending,19,69955,3044,456,declining,Education,Saturday,Afternoon,76368,18,0.589,ForYou
1,Us,North America,Fitness,original,13,19060,859,83,declining,Comedy,Wednesday,Evening,76934.4,11,0.646,Following
1,Ca,North America,Fashion,licensed,30,70734,6134,582,seasonal,Education,Wednesday,Night,88276,32,0.833,ForYou
1,Mx,North America,Art,trending,19,231644,16871,1718,stable,Pets,Friday,Evening,93745.1,19,0.679,ForYou
1,Mx,North America,Fitness,licensed,35,35928,2763,428,declining,Education,Wednesday,Afternoon,79277.7,35,0.52,ForYou
1,Mx,North America,News,original,37,56807,2575,265,rising,Comedy,Wednesday,Evening,116192.9,28,0.635,ForYou
1,Us,North America,Tech,licensed,20,27227,1679,197,rising,Comedy,Saturday,Evening,89981.8,20,0.57,External
1,Us,North America,Music,trending,16,565006,24010,1703,declining,Gaming,Sunday,Afternoon,90734.5,29,0.6,ForYou
1,Us,North America,Sports,trending,36,46800,1906,195,stable,Fashion,Sunday,Afternoon,101280.2,22,0.708,ForYou
2,Ca,North America,Sports,licensed,75,119277,4464,348,seasonal,Dance,Friday,Morning,91135.1,15,0.419,Home
2,Ca,North America,Science,original,44,229870,7465,956,seasonal,Beauty,Saturday,Evening,141830.1,25,0.584,Search
2,Us,North America,Music,licensed,55,21683,631,51,declining,Gaming,Saturday,Evening,90369.7,28,0.467,Suggested
2,Us,North America,Gaming,licensed,50,167513,3354,412,seasonal,Lifestyle,Saturday,Afternoon,106295.8,21,0.614,Home
2,Us,North America,Comedy,trending,38,25690,1963,247,stable,Gaming,Sunday,Evening,96208.1,29,0.671,Home
2,Mx,North America,Travel,original,29,52910,3224,381,declining,Dance,Thursday,Morning,117464.6,23,0.434,Search
1,Us,North America,Music,trending,18,79090,5807,851,stable,Sports,Saturday,Afternoon,87549.4,22,0.594,Following
1,Us,North America,Automotive,trending,28,161186,8890,1055,declining,Food,Monday,Evening,112406,22,0.729,Following
1,Ca,North America,News,original,39,140181,11559,1090,stable,Pets,Friday,Night,88276,19,0.508,ForYou
1,Ca,North America,Science,original,32,23537,1518,186,seasonal,Beauty,Tuesday,Morning,111539.1,18,0.762,ForYou
1,Ca,North America,Tech,licensed,49,33926,1832,124,stable,Pets,Friday,Evening,100266.4,20,0.637,ForYou
1,Us,North America,Lifestyle,original,41,40846,3309,254,stable,Lifestyle,Friday,Evening,76785.9,29,0.693,ForYou
1,Us,North America,Education,trending,11,14944,886,82,stable,Fashion,Tuesday,Evening,93238.5,21,0.609,Search
1,Us,North America,DIY,original,27,48370,4363,300,seasonal,Sports,Friday,Evening,89929.7,22,0.752,External
1,Us,North America,Food,original,27,91551,9491,817,rising,Tech,Friday,Evening,97585.7,23,0.844,Following
1,Mx,North America,Science,trending,37,85152,5747,876,seasonal,Travel,Thursday,Night,106295.8,20,0.67,ForYou
2,Mx,North America,Finance,licensed,36,64578,2881,216,rising,Beauty,Friday,Evening,105585.7,20,0.672,Home
2,Mx,North America,Travel,original,56,29767,890,80,seasonal,Fashion,Sunday,Morning,100230.7,20,0.72,Search
2,Us,North America,Beauty,trending,20,135729,4764,445,declining,Music,Sunday,Afternoon,89037.7,26,0.42,Home
2,Ca,North America,Tech,original,52,238112,15308,2014,stable,Food,Saturday,Morning,120089.6,14,0.683,Suggested
2,Ca,North America,Sports,licensed,27,57152,2641,328,declining,Education,Saturday,Evening,85683.8,16,0.63,External
2,Mx,North America,Comedy,original,14,28244,1069,122,declining,Education,Wednesday,Afternoon,89534.9,20,0.564,Suggested
2,Mx,North America,Science,licensed,54,30452,904,133,seasonal,Dance,Thursday,Evening,90954.4,20,0.591,Home
2,Mx,North America,Comedy,licensed,59,25916,958,100,declining,Beauty,Friday,Evening,92959.7,22,0.681,Home
2,Us,North America,DIY,licensed,49,9556,440,61,rising,Beauty,Saturday,Night,84155.1,28,0.539,Home
2,Ca,North America,Automotive,original,28,41876,2020,175,declining,Pets,Saturday,Afternoon,120866.4,26,0.65,Suggested
2,Ca,North America,Comedy,licensed,63,74455,3269,272,stable,Pets,Tuesday,Night,102133.2,17,0.56,Home
2,Ca,North America,Fashion,licensed,40,21727,1023,132,declining,Comedy,Wednesday,Afternoon,84941,14,0.518,External
1,Mx,North America,Education,trending,34,46472,4327,604,seasonal,Music,Saturday,Morning,96742.3,25,0.585,Search
1,Us,North America,Travel,original,15,38848,3229,410,declining,Music,Wednesday,Evening,78162.1,21,0.587,External
1,Ca,North America,Lifestyle,original,21,109373,12013,1519,rising,Fashion,Friday,Evening,88159.6,20,0.671,ForYou
1,Mx,North America,DIY,trending,15,12206,966,129,stable,Tech,Friday,Evening,62987.8,29,0.587,Search
1,Ca,North America,Art,original,31,292021,21510,1845,seasonal,Lifestyle,Saturday,Afternoon,113307.8,26,0.813,ForYou
1,Mx,North America,News,original,27,15980,1212,86,stable,Tech,Friday,Evening,139280.8,26,0.841,ForYou
1,Us,North America,Gaming,trending,30,18894,1189,144,declining,Fashion,Friday,Night,128892.5,19,0.843,ForYou
1,Ca,North America,DIY,licensed,13,83939,3490,243,stable,Beauty,Wednesday,Evening,112761.3,22,0.569,ForYou
2,Ca,North America,Tech,original,36,26283,1030,120,rising,Pets,Saturday,Night,90412.1,20,0.708,Suggested
2,Us,North America,Pets,trending,25,19474,814,50,rising,Fashion,Friday,Evening,94550.8,21,0.692,Suggested
2,Us,North America,News,trending,71,34346,1457,228,rising,Food,Friday,Evening,109289.1,16,0.706,Home
2,Mx,North America,Fitness,original,61,46896,1798,240,rising,Fashion,Monday,Evening,95866.1,19,0.566,Suggested
2,Mx,North America,Science,original,20,197395,4862,553,stable,Beauty,Wednesday,Afternoon,81777.9,27,0.65,Search
2,Us,North America,Comedy,trending,52,137581,6081,579,stable,Travel,Thursday,Morning,109255,20,0.687,Search
2,Mx,North America,Education,trending,38,43787,1898,218,declining,Food,Monday,Afternoon,120740,23,0.682,Home
2,Ca,North America,Education,trending,60,14000,572,63,stable,Beauty,Saturday,Afternoon,106317.9,22,0.662,Home
2,Us,North America,News,original,51,52496,1770,116,seasonal,Gaming,Saturday,Afternoon,96609.1,29,0.629,Suggested
1,Mx,North America,Tech,trending,19,352757,21770,2049,declining,Travel,Sunday,Evening,123474.6,26,0.558,ForYou
1,Mx,North America,Science,original,28,86139,7147,987,rising,Gaming,Sunday,Evening,120740,29,0.743,ForYou
1,Mx,North America,Beauty,original,45,33481,1601,194,stable,Comedy,Tuesday,Evening,101614.1,29,0.596,External
1,Us,North America,Travel,licensed,22,485800,17226,1345,seasonal,Education,Friday,Afternoon,86911.3,27,0.645,ForYou
1,Us,North America,Tech,original,36,23384,1478,121,declining,Music,Friday,Afternoon,93727.3,23,0.817,External
1,Us,North America,Science,original,17,195754,10131,859,rising,Gaming,Saturday,Afternoon,77464.1,30,0.735,Following
2,Us,North America,Fitness,licensed,31,53762,2766,361,seasonal,Dance,Sunday,Morning,83077.8,20,0.597,Home
2,Mx,North America,Fitness,trending,35,114679,2661,294,rising,Dance,Sunday,Night,102956.3,15,0.403,Suggested
2,Mx,North America,Comedy,original,46,93153,4458,520,rising,Tech,Sunday,Evening,98281.2,25,0.454,External
2,Ca,North America,Education,original,45,37660,868,116,declining,Comedy,Sunday,Afternoon,110281.5,34,0.576,Suggested
2,Ca,North America,Sports,trending,75,80962,2294,205,declining,Beauty,Wednesday,Afternoon,118634.1,22,0.507,Search
2,Mx,North America,Travel,licensed,39,139029,4570,379,stable,Dance,Tuesday,Evening,73883.7,15,0.638,Home
2,Mx,North America,Science,original,35,10191,278,28,declining,Food,Friday,Evening,109258.2,24,0.403,Suggested
2,Mx,North America,Travel,trending,40,53300,2122,307,seasonal,Comedy,Friday,Night,111310.2,26,0.602,Search
2,Us,North America,Finance,trending,90,20126,789,117,seasonal,Fashion,Friday,Evening,87560.6,20,0.434,Suggested
2,Us,North America,Lifestyle,trending,28,39154,1044,101,stable,Lifestyle,Monday,Evening,89206.3,25,0.732,Suggested
1,Mx,North America,Art,licensed,55,17724,635,41,seasonal,Beauty,Tuesday,Evening,84206,28,0.753,ForYou
1,Us,North America,Fitness,trending,32,31304,2146,188,stable,Dance,Tuesday,Morning,102133.2,22,0.5,ForYou
1,Mx,North America,Science,licensed,31,26466,1725,147,declining,Fashion,Sunday,Morning,88998.8,20,0.574,ForYou
1,Mx,North America,Fitness,original,30,34629,2164,295,declining,Education,Monday,Afternoon,93714.6,16,0.643,ForYou
1,Mx,North America,Automotive,trending,27,10117,382,25,seasonal,Comedy,Friday,Afternoon,99200.2,14,0.804,Following
1,Ca,North America,Food,licensed,22,39543,1937,197,declining,Music,Friday,Evening,96403.9,12,0.632,External
1,Us,North America,Science,trending,20,20647,2002,275,declining,Sports,Friday,Evening,101280.2,22,0.55,ForYou
1,Mx,North America,Finance,trending,19,70305,3202,429,rising,Education,Sunday,Evening,94785.6,16,0.6,Search
1,Mx,North America,DIY,licensed,18,32166,2183,262,declining,Pets,Monday,Evening,86206.8,20,0.761,ForYou
1,Ca,North America,Music,trending,52,137254,9431,924,seasonal,Comedy,Thursday,Afternoon,99893.3,21,0.558,ForYou
1,Us,North America,Finance,original,38,41535,2604,245,rising,Gaming,Saturday,Evening,78592,29,0.584,ForYou
1,Us,North America,Music,original,23,158963,10336,1193,rising,Gaming,Monday,Afternoon,109552,28,0.757,Following
2,Us,North America,Music,trending,22,340573,12963,1837,rising,Education,Saturday,Evening,84701.8,16,0.527,Search
2,Us,North America,News,trending,34,69208,2122,214,stable,Pets,Friday,Afternoon,127922.9,17,0.735,Home
2,Ca,North America,Automotive,original,58,18040,341,44,declining,Music,Friday,Evening,112356.1,26,0.6,Home
2,Us,North America,Lifestyle,original,37,208155,5145,541,stable,Lifestyle,Monday,Evening,116060.5,25,0.657,Home
2,Us,North America,News,original,18,171994,7468,617,declining,Food,Friday,Night,123924.6,24,0.561,Suggested
2,Mx,North America,Education,licensed,28,31456,1806,243,declining,Pets,Thursday,Evening,98781.3,17,0.554,Search
1,Ca,North America,Travel,original,21,43796,1856,273,declining,Tech,Monday,Night,93727.3,31,0.543,Following
1,Mx,North America,Beauty,trending,23,54373,4159,333,stable,Comedy,Friday,Evening,103726.9,9,0.587,ForYou
1,Ca,North America,Beauty,licensed,50,9123,955,139,seasonal,Comedy,Wednesday,Evening,97960.8,21,0.81,ForYou
1,Us,North America,Beauty,original,75,42404,2555,353,seasonal,Fashion,Sunday,Evening,101777.7,21,0.82,ForYou
1,Ca,North America,Education,licensed,43,14346,757,105,stable,Gaming,Sunday,Night,100207.3,26,0.521,Search
1,Mx,North America,Art,licensed,20,35767,2394,255,stable,Lifestyle,Friday,Evening,80018.9,24,0.835,ForYou
1,Ca,North America,Comedy,original,31,110031,3695,385,stable,Lifestyle,Friday,Night,99230,32,0.771,Search
1,Us,North America,Pets,original,23,53028,4368,295,stable,Comedy,Friday,Evening,91480.6,23,0.748,ForYou
1,Us,North America,Science,trending,15,48403,2724,247,declining,Pets,Friday,Evening,91401.9,20,0.573,ForYou
1,Ca,North America,Beauty,trending,22,296369,14963,1828,declining,Sports,Friday,Evening,87560.6,24,0.505,External
1,Ca,North America,Sports,licensed,20,14120,1113,145,rising,Travel,Friday,Afternoon,88495,26,0.755,ForYou
1,Mx,North America,Lifestyle,licensed,49,142338,10082,1199,seasonal,Gaming,Monday,Evening,91096.1,25,0.571,ForYou
1,Us,North America,DIY,original,19,97447,10325,924,declining,Education,Saturday,Morning,98232.9,28,0.753,ForYou
1,Us,North America,Music,licensed,24,57472,4303,609,rising,Education,Friday,Evening,106288.7,22,0.675,ForYou
1,Us,North America,Beauty,original,25,14712,1249,203,stable,Travel,Sunday,Night,132877.7,25,0.644,Search
1,Ca,North America,Fashion,original,34,180213,10372,1302,seasonal,Beauty,Saturday,Afternoon,84030.9,22,0.532,ForYou
1,Ca,North America,Finance,licensed,31,31787,3123,305,seasonal,Sports,Friday,Afternoon,92630.9,24,0.742,External
1,Us,North America,Science,original,16,143376,12801,1574,declining,Beauty,Friday,Evening,83077.8,28,0.838,ForYou
1,Ca,North America,Music,original,12,45646,2599,245,seasonal,Tech,Saturday,Evening,98586,29,0.517,Search
1,Mx,North America,Beauty,licensed,68,62829,3675,344,stable,Dance,Thursday,Afternoon,108022.1,22,0.737,Following
1,Ca,North America,Gaming,licensed,17,100644,6122,858,declining,Gaming,Sunday,Morning,105000,24,0.718,Following
1,Ca,North America,Comedy,licensed,25,32878,1813,128,rising,Food,Sunday,Afternoon,95580.2,20,0.64,ForYou
2,Mx,North America,Science,original,50,54750,2569,247,seasonal,Comedy,Sunday,Evening,67358,11,0.638,Suggested
2,Mx,North America,Food,original,30,6836,520,64,stable,Fashion,Friday,Evening,123924.6,22,0.563,Home
2,Ca,North America,Finance,trending,46,25997,1148,83,stable,Dance,Saturday,Evening,79249.9,22,0.715,Search
2,Mx,North America,News,licensed,39,27755,1264,115,declining,Beauty,Friday,Morning,94785.6,25,0.415,Home
1,Ca,North America,Science,original,21,33866,3189,254,rising,Food,Wednesday,Evening,81626.7,24,0.733,Following
1,Mx,North America,Science,trending,31,139921,9421,1307,seasonal,Food,Tuesday,Evening,93663.5,23,0.7,ForYou
1,Mx,North America,Education,trending,11,78046,9378,792,seasonal,Pets,Tuesday,Evening,115352,26,0.655,ForYou
1,Ca,North America,Music,original,31,91505,3639,603,declining,Fashion,Sunday,Afternoon,117704,23,0.539,ForYou
1,Us,North America,Food,original,11,216769,13115,1381,rising,Gaming,Monday,Afternoon,108022.1,28,0.564,ForYou
1,Mx,North America,Art,trending,35,54794,3150,249,rising,Music,Friday,Evening,93827.6,28,0.671,ForYou
1,Us,North America,Fashion,licensed,19,144305,7360,542,declining,Travel,Wednesday,Afternoon,78592,22,0.511,ForYou
1,Mx,North America,Travel,trending,23,156651,19998,1853,rising,Lifestyle,Thursday,Night,103087.9,22,0.674,ForYou
1,Us,North America,Fitness,licensed,23,20864,1778,198,rising,Sports,Friday,Evening,79597.8,22,0.574,ForYou
1,Ca,North America,Pets,licensed,39,149674,11633,1221,seasonal,Beauty,Friday,Evening,100197.7,30,0.664,Following
1,Mx,North America,Comedy,trending,39,50587,4295,663,stable,Beauty,Sunday,Evening,73660.3,22,0.844,ForYou
1,Us,North America,Sports,licensed,36,48691,4299,556,seasonal,Gaming,Friday,Evening,73326.4,24,0.608,Following
1,Mx,North America,Art,trending,8,14398,716,51,seasonal,Sports,Thursday,Afternoon,87413.2,22,0.688,ForYou
1,Mx,North America,Travel,original,20,56558,2783,281,rising,Food,Sunday,Evening,82879.7,27,0.64,ForYou
1,Us,North America,Lifestyle,trending,29,306008,13056,1043,declining,Gaming,Friday,Morning,88068.7,29,0.514,Search
1,Ca,North America,Travel,original,33,50252,2561,311,rising,Comedy,Tuesday,Evening,95337.6,26,0.5,ForYou
2,Mx,North America,Sports,original,79,36677,1586,159,declining,Travel,Friday,Evening,126216.3,20,0.461,External
2,Us,North America,Comedy,licensed,53,69446,2924,401,declining,Dance,Sunday,Night,91699.8,23,0.592,Search
2,Mx,North America,Education,trending,45,67179,2857,299,seasonal,Sports,Sunday,Evening,102133.2,22,0.536,Search
2,Us,North America,Finance,original,31,82387,2142,184,seasonal,Gaming,Friday,Evening,82413.7,27,0.413,Home
2,Us,North America,News,original,33,21662,802,118,stable,Dance,Saturday,Evening,107717.7,20,0.47,Search
2,Us,North America,Travel,original,53,65879,2628,298,seasonal,Gaming,Friday,Afternoon,108133.7,24,0.475,Home
2,Ca,North America,Music,original,81,57316,2381,312,declining,Sports,Tuesday,Evening,123474.6,24,0.679,Suggested
2,Us,North America,Pets,original,51,59132,3566,268,declining,Dance,Monday,Morning,75227.3,22,0.72,Home
1,Mx,North America,Finance,original,20,88487,9576,955,stable,Food,Monday,Morning,92069.4,24,0.53,External
1,Mx,North America,Travel,original,34,145043,12543,1059,seasonal,Comedy,Saturday,Morning,108833.3,20,0.574,ForYou
1,Ca,North America,Education,original,31,118832,5762,785,rising,Tech,Monday,Afternoon,89114.6,26,0.542,External
1,Ca,North America,Art,original,26,146670,7966,1177,rising,Music,Thursday,Evening,97585.7,23,0.527,ForYou
1,Mx,North America,Travel,licensed,21,45376,2987,473,stable,Dance,Tuesday,Evening,92976.5,23,0.624,ForYou
1,Us,North America,Beauty,trending,31,49493,3830,415,rising,Fashion,Friday,Evening,90840.6,20,0.835,ForYou
1,Us,North America,Finance,original,11,72176,3890,292,rising,Comedy,Friday,Morning,83079,27,0.582,External
1,Ca,North America,Fashion,trending,19,153635,10687,1109,declining,Beauty,Friday,Morning,75508.9,23,0.726,ForYou
1,Mx,North America,Beauty,trending,19,170406,9020,792,seasonal,Travel,Wednesday,Night,100266.4,29,0.521,Following
1,Mx,North America,Food,original,52,98842,7039,892,seasonal,Fashion,Sunday,Afternoon,75220.9,20,0.615,ForYou
2,Mx,North America,Gaming,original,64,172586,5101,712,declining,Dance,Thursday,Evening,109552,22,0.548,Suggested
2,Mx,North America,Finance,licensed,44,23207,1230,88,seasonal,Beauty,Friday,Evening,100659.5,25,0.443,Home
2,Mx,North America,Gaming,original,90,130122,4190,639,seasonal,Comedy,Sunday,Evening,96533.9,32,0.488,Home
2,Mx,North America,Fitness,trending,58,47082,2435,184,stable,Fashion,Tuesday,Night,122780.7,17,0.416,Search
2,Us,North America,Finance,original,24,190743,4625,333,seasonal,Food,Saturday,Evening,66324.2,14,0.488,Suggested
2,Mx,North America,Tech,trending,33,200894,10642,735,rising,Comedy,Sunday,Morning,90412.1,18,0.6,Home
2,Ca,North America,Sports,licensed,26,66416,3443,269,stable,Gaming,Friday,Evening,113307.8,26,0.5,Home
2,Mx,North America,Pets,trending,48,35818,914,139,seasonal,Fashion,Friday,Night,92140.4,19,0.527,Search
1,Mx,North America,Beauty,licensed,29,109526,8832,1186,stable,Music,Saturday,Evening,97042.8,21,0.776,ForYou
1,Mx,North America,Science,original,18,58147,1771,141,rising,Lifestyle,Wednesday,Evening,102133.2,21,0.544,ForYou
1,Ca,North America,Fashion,trending,26,21585,1673,205,stable,Music,Thursday,Evening,63890.7,28,0.581,External
1,Mx,North America,Comedy,original,26,39632,2657,345,rising,Sports,Saturday,Evening,68744.1,22,0.827,ForYou
1,Ca,North America,Tech,licensed,26,10395,886,61,seasonal,Sports,Monday,Night,81411.1,24,0.642,External
1,Mx,North America,Pets,trending,33,42568,2134,249,seasonal,Beauty,Wednesday,Morning,107717.7,29,0.585,Following
1,Us,North America,Tech,original,29,15323,909,93,declining,Sports,Friday,Evening,95241.7,25,0.755,ForYou
1,Us,North America,Fitness,trending,23,232086,14667,932,declining,Sports,Monday,Evening,133984.4,24,0.765,ForYou
1,Ca,North America,Finance,trending,21,22660,2249,248,rising,Comedy,Friday,Evening,131156,26,0.838,ForYou
1,Mx,North America,News,licensed,24,70808,5038,602,rising,Tech,Friday,Evening,92871.7,31,0.829,ForYou
1,Mx,North America,DIY,original,26,26729,1296,148,stable,Food,Sunday,Morning,91380.1,18,0.692,Following
2,Ca,North America,Fashion,trending,46,90991,3151,483,declining,Sports,Friday,Evening,86520.6,22,0.563,Suggested
2,Ca,North America,News,original,22,135825,5332,527,rising,Education,Friday,Evening,111632,16,0.673,Home
2,Us,North America,Lifestyle,original,55,72708,1474,192,declining,Lifestyle,Friday,Afternoon,113141.1,25,0.696,Home
2,Us,North America,Beauty,original,40,119238,5354,874,declining,Education,Sunday,Afternoon,89037.7,16,0.545,External
2,Mx,North America,Fitness,licensed,34,152002,5330,370,seasonal,Food,Friday,Afternoon,116192.9,23,0.538,External
2,Us,North America,DIY,licensed,87,12065,375,34,declining,Education,Tuesday,Afternoon,77522.5,22,0.623,Search
2,Mx,North America,Food,trending,23,16224,352,42,stable,Comedy,Thursday,Evening,78135.9,24,0.639,Home
2,Ca,North America,Tech,original,39,36811,1948,250,seasonal,Travel,Wednesday,Evening,90412.1,27,0.415,Home
2,Mx,North America,Fashion,trending,40,30965,1029,118,seasonal,Travel,Saturday,Afternoon,72836.1,23,0.52,Home
2,Mx,North America,News,trending,18,42117,1606,182,stable,Fashion,Thursday,Evening,115920.9,23,0.722,Search
2,Mx,North America,Travel,licensed,72,29635,1039,102,declining,Sports,Saturday,Night,105769.8,22,0.444,Home
